name,slug,file,aliases,city,w,h
Altoona-Midway,altoona-midway,altoona-midway.png,,Buffalo,400,400
Andale,andale,andale.png,,Andale,400,400
Andover,andover,andover.png,,,200,150
Arkansas City,arkansas-city,arkansas-city.png,,Arkansas City,293,293
Atchison,atchison,,,Atchison,300,300
Atchison County,atchison-county,,,Effingham,300,300
Augusta,augusta,augusta.png,,,200,150
Axtell,axtell,,,Axtell,300,300
Baldwin,baldwin,baldwin.png,,Baldwin City,400,400
Basehor-Linwood,basehor-linwood,basehor-linwood.png,,Basehor,400,400
Baxter Springs,baxter-springs,baxter-springs.png,,Baxter Springs,80,80
Belle Plaine,belle-plaine,,,Belle Plaine,300,300
Beloit,beloit,beloit.png,,Beloit,400,400
Bishop Carroll,bishop-carroll,,,Wichita,400,400
Bishop Miege,bishop-miege,bishop-miege.png,,,200,150
Bishop Seabury,bishop-seabury,,,Lawrence,400,400
Bishop Ward,bishop-ward,bishop-ward.png,,Kansas City,300,300
Blue Valley,blue-valley,blue-valley.png,BV,Stilwell,290,290
Blue Valley Northwest,blue-valley-northwest,,BV Northwest; BVNW,Overland Park,300,300
Blue Valley Southwest,blue-valley-southwest,blue-valley-southwest.png,BV Southwest; BVSW,Overland Park,125,83
Blue Valley West,blue-valley-west,blue-valley-west.png,BV West; BVW,Overland Park,400,400
Bluestem,bluestem,bluestem.png,,Leon,300,249
Brewster,brewster,brewster.png,,Brewster,168,177
Bucklin,bucklin,bucklin.png,,Bucklin,400,400
Buhler,buhler,buhler.png,,Buhler,400,400
Burlington,burlington,burlington.png,,Burlington,400,400
Cair Paravel Latin School,cair-paravel-latin-school,,,Topeka,300,300
Canton-Galva,canton-galva,canton-galva.png,,Canton,111,111
Central,central,central.png,,Burden,400,400
Central Plains,central-plains,central-plains.png,,Claflin,400,400
Centralia,centralia,,,Centralia,300,300
Chanute,chanute,chanute.png,,Chanute,191,179
Chaparral,chaparral,,,Anthony,400,400
Cheney,cheney,cheney.png,,,200,150
Cherryvale,cherryvale,cherryvale.png,,Cherryvale,400,400
